CreditScore,Geography,Gender,Age,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
519,France,Male,36,9,0,0,1,145562.4,0
735,France,Female,21,1,,1,0,22388,0
664,France,Male,55,8,0,1,1,139161.64,0
678,France,Female,32,9,0,1,1,148210.64,0
757,Spain,Male,33,5,77253.22,0,1,194239.63,0
416,France,Female,41,10,122189.66,1,0,98301.61,0
665,France,Female,34,1,96645.54,0,0,171413.66,0
777,France,Female,,2,0,1,0,136458.19,1
543,France,Female,36,3,0,0,0,26019.59,0
506,France,Female,34,4,90307.62,1,1,159235.29,0
493,France,Female,46,4,0,1,0,1907.66,0
652,Spain,Female,75,10,0,1,1,114675.75,0
750,Spain,Male,22,3,121681.82,1,0,128643.35,1
729,France,Male,30,9,0,1,0,151869.35,0
646,France,Female,46,4,0,1,0,93251.42,1
635,France,Female,28,3,81623.67,1,1,156791.36,0
647,Spain,Female,44,5,0,1,1,174205.22,1
808,France,Male,45,7,118626.55,1,0,147132.46,0
524,France,Female,36,10,0,1,0,109614.57,0
769,France,Male,29,8,0,1,1,172290.61,0
730,Spain,Male,42,4,0,0,1,85982.47,0
515,Spain,Male,,10,176273.95,0,1,121277.78,0
773,Spain,Male,41,9,102827.44,0,1,64595.25,0
814,France,Male,29,8,97086.4,1,1,197276.13,0
710,Spain,Male,22,8,0,0,0,99645.04,0
413,France,Male,34,9,0,0,0,6534.18,0
665,France,Female,40,6,0,1,1,161848.03,0
623,France,Female,44,6,0,0,0,167162.43,0
738,France,Male,31,9,82674.15,1,0,41970.72,0
528,Spain,Male,36,7,0,1,0,60536.56,0
670,Spain,Female,65,1,0,1,1,177655.68,1
622,Spain,Female,46,4,107073.27,1,1,30984.59,1
582,France,Male,32,1,88938.62,1,1,10054.53,0
785,France,Female,36,2,99806.85,0,1,36976.52,0
605,Spain,Male,33,5,150092.8,0,0,71862.79,0
479,France,Male,35,9,92833.89,1,0,99449.86,1
685,France,Male,30,3,90536.81,0,1,63082.88,0
538,France,Male,,7,108055.1,1,0,27231.26,0
562,France,Male,42,2,100238.35,0,0,86797.41,0
675,Spain,Male,36,9,106190.55,0,1,22994.32,0
721,France,Male,28,9,154475.54,0,1,101300.94,1
628,France,Female,30,9,132351.29,1,1,74169.13,0
668,France,Female,37,6,167864.4,1,0,115638.29,0
506,France,Female,41,1,0,1,0,31766.3,0
524,France,Female,31,8,107818.63,1,0,199725.39,1
699,France,Male,34,4,185173.81,1,0,120834.48,0
828,France,Male,34,8,129433.34,0,0,38131.77,0
674,Spain,Male,39,6,120193.42,0,0,100130.95,0
656,France,Female,39,6,0,1,0,141069.88,0
684,France,Female,48,10,126384.42,1,1,198129.36,0
625,France,Female,28,3,0,0,0,183646.41,0
432,France,Male,,9,152603.45,1,0,110265.24,1
549,France,Female,52,1,0,0,1,8636.05,1
625,France,Male,56,0,148507.24,1,0,46824.08,1
828,France,Female,41,7,0,,,,0
770,France,Male,24,9,101827.07,1,0,167256.35,0
758,France,Female,34,3,0,1,1,124226.16,0
795,France,Female,33,9,130862.43,1,1,114935.21,0
687,France,Male,38,9,122570.87,1,1,35608.88,0
686,France,Male,25,1,0,0,1,16459.37,0
789,France,Male,39,7,124828.46,1,1,124411.08,0
589,France,Female,50,5,144895.05,1,1,34941.23,0
461,France,Female,34,5,63663.93,0,1,167784.28,0
637,France,Male,40,2,133463.1,0,1,93165.34,0
584,Spain,Female,48,2,213146.2,1,0,75161.25,1
579,Spain,Female,35,1,129490.36,0,1,8590.83,1
756,France,Male,44,10,137452.09,1,0,189543.9,0
663,France,Male,34,7,0,1,1,180427.24,0
682,France,Female,43,5,125851.93,1,1,193318.33,0
793,Spain,Male,52,2,0,1,0,159123.82,1
691,France,Female,31,5,40915.55,1,0,126213.84,1
485,Spain,Female,21,5,113157.22,1,1,54141.5,0
635,Spain,Female,29,8,138296.94,1,0,141075.51,0
650,France,Male,37,5,106967.18,0,0,24495.03,0
735,France,Male,44,9,120681.63,1,0,74836.34,0
416,France,Male,32,0,0,0,1,878.87,0
754,Spain,Female,32,7,0,1,0,89520.75,0
535,France,Female,48,9,0,1,0,149892.79,1
716,Spain,Male,42,8,0,1,0,180800.42,0
539,France,Male,37,2,127609.59,1,0,98646.22,0
614,France,Female,43,6,0,1,1,109041.53,0
706,Spain,Male,57,7,0,1,0,17941.16,1
758,France,Female,33,7,0,0,0,82996.47,0
586,Spain,Female,28,2,0,1,1,92067.35,0
646,France,Female,73,6,97259.25,0,1,104719.66,0
631,France,Female,33,4,123246.7,0,0,112687.57,0
717,Spain,Female,22,6,101060.25,0,1,84699.56,0
684,France,Male,30,2,0,1,0,83473.82,0
800,France,Female,49,7,108007.36,0,0,47125.11,0
721,Spain,Female,36,2,0,1,1,106977.8,0
683,Spain,Male,29,0,133702.89,1,0,55582.54,1
660,France,Male,31,9,125189.75,1,1,139874.43,0
704,France,Female,24,7,113034.22,1,0,162503.48,1
615,Spain,Female,41,9,109013.23,1,0,196499.96,0
667,Spain,Female,39,2,0,1,0,40721.24,1
682,France,Male,24,9,57929.81,0,0,53134.3,0
484,France,Female,29,4,130114.39,1,0,164017.89,0
628,France,Male,27,5,95826.49,1,0,155996.96,0
480,France,Male,44,10,,1,0,5472.7,1
578,France,Male,30,4,169462.09,1,0,112187.11,0
512,France,Male,40,5,0,1,,146457.83,0
484,Spain,Female,35,7,133868.21,1,1,27286.1,0
510,France,Female,30,0,0,1,1,,0
606,France,Male,36,5,190479.48,0,0,179351.89,0
597,Spain,Female,40,8,101993.12,0,1,94774.12,0
754,France,Female,55,3,161608.81,1,0,8080.85,1
850,Spain,Female,45,2,122311.21,1,1,19482.5,0
510,France,Male,65,2,0,1,1,48071.61,0
778,France,Female,45,1,162150.42,1,0,174531.27,0
636,France,Male,42,2,0,1,1,55470.78,0
804,France,Female,50,4,0,1,1,8546.87,1
514,France,Male,32,8,0,1,0,95857.18,0
730,France,Female,39,1,99010.67,1,0,194945.8,0
525,Spain,Female,37,0,0,0,1,,0
616,Spain,Male,30,5,0,0,1,196108.51,0
687,France,Female,34,7,111388.18,1,0,148564.76,0
715,France,Female,41,8,56214.85,0,0,92982.61,1
512,France,Female,36,3,84327.77,1,0,17675.36,0
479,France,Male,40,1,0,0,0,114996.43,0
601,France,Male,32,8,,1,0,86957.42,0
580,Spain,Male,29,9,61710.44,1,0,128077.8,0
807,France,Male,35,3,174790.15,1,1,600.36,0
616,Spain,Female,32,6,0,1,1,43001.46,0
721,France,Male,37,3,107720.64,1,1,158591.12,0
501,France,Male,57,10,0,1,1,47847.19,0
521,France,Male,35,6,96423.84,1,0,10488.44,0
850,Spain,Male,30,2,141040.01,1,1,5978.2,0
759,France,Male,42,4,105420.18,0,1,,0
516,Spain,Male,50,5,0,0,1,146145.93,1
711,France,Female,38,2,,1,1,14374.86,1
512,Spain,Male,33,3,176666.62,1,0,94670.77,0
550,France,Male,37,3,0,1,1,179670.31,0
608,Spain,Female,41,3,89763.84,0,0,199304.74,1
618,France,Male,34,5,134954.53,1,1,151954.39,0
643,France,Male,45,5,0,1,0,,1
671,France,Male,45,2,106376.85,0,1,158264.62,0
689,France,Male,33,2,161814.64,1,0,169381.9,0
603,France,Male,31,8,0,1,1,169915.02,0
620,France,Female,41,9,0,0,0,88852.47,0
676,France,Female,34,1,63095.01,1,1,40645.81,0
572,France,Male,26,,118287.01,0,0,60427.3,0
668,France,Male,47,7,106854.21,0,1,157959.02,1
695,France,Male,46,7,49512.55,1,0,133007.34,0
730,Spain,Female,33,9,0,0,0,176576.62,0
807,France,Male,43,1,105799.32,1,0,34888.04,1
592,France,Male,54,8,0,1,1,28737.71,1
726,France,Female,31,9,114722.05,1,1,98178.57,0
514,Spain,Male,30,7,0,0,1,125010.24,0
567,France,Male,42,2,0,1,1,167984.61,0
850,France,Male,33,10,0,1,0,4861.72,1
671,France,Male,45,6,99564.22,1,1,108872.45,1
670,France,Male,37,4,170557.91,1,0,198252.88,0
694,France,Female,30,9,0,1,1,26960.31,0
547,France,Female,39,6,74596.15,1,1,85746.52,1
751,France,Male,50,2,96888.39,1,0,77206.25,1
594,France,Female,29,3,130830.22,1,0,61048.53,0
673,France,Male,72,1,0,0,1,111981.19,0
610,France,Male,40,0,0,1,0,62232.6,0
512,France,Female,37,1,0,0,1,156105.03,0
767,France,Male,20,3,119714.25,0,1,150135.38,0
585,France,Female,67,5,113978.97,0,1,93146.11,0
763,France,Male,42,6,100160.75,1,0,33462.94,1
712,France,Female,29,2,0,1,1,144375,0
539,France,Female,43,3,116220.5,1,0,55803.96,1
668,France,Female,46,2,0,,0,89048.46,1
703,France,Male,28,2,81173.83,0,1,162812.16,0
662,Spain,Male,38,4,0,1,0,136259.65,0
725,France,Female,39,5,116803.8,1,0,124052.97,0
703,France,Male,37,8,105961.68,0,1,74158.8,0
659,France,Male,67,6,117411.6,1,1,45071.09,1
523,Spain,Male,34,7,0,1,0,62030.06,0
635,France,Female,40,10,123497.58,1,0,131953.23,1
772,France,Male,26,7,152400.51,1,0,79414,0
545,France,Female,26,1,,1,1,199638.56,0
634,France,Male,24,8,103097.85,1,1,157577.29,0
739,France,Male,54,8,126418.14,1,0,134420.75,1
771,France,Female,36,5,77846.9,0,0,99805.99,0
587,Spain,Female,34,1,0,1,1,97932.68,0
681,France,Female,79,0,0,0,1,170968.99,0
544,France,Male,37,2,79731.91,1,1,57558.95,0
696,Spain,Male,28,8,0,0,0,,0
766,Spain,Male,41,0,0,0,1,34283.23,0
727,France,Male,34,10,0,1,1,198637.34,0
671,France,Female,34,6,,0,0,156917.12,0
693,France,Female,30,6,127992.25,1,1,50457.2,0
850,France,Male,38,3,54901.01,1,1,140075.55,0
732,France,Male,42,9,108748.08,1,1,65323.11,0
726,Spain,Female,48,6,99906.19,1,0,64323.24,0
557,France,Female,32,6,184686.41,1,0,14956.44,0
682,France,Female,26,0,110654.02,0,1,111879.21,0
738,Spain,Male,31,9,79019.8,1,1,,0
531,Spain,Female,36,9,,1,0,123137.01,0
498,France,Male,34,2,0,1,1,148528.24,0
651,France,Male,36,7,0,1,0,13898.31,0
549,Spain,Female,39,7,0,0,0,81259.25,1
791,France,Female,35,7,52436.2,1,0,161051.75,0
650,Spain,Male,41,9,0,0,1,191599.67,0
733,France,Male,34,3,100337.96,1,0,48559.19,1
811,France,Female,34,1,149297.19,1,1,186339.74,0
707,France,Male,30,8,0,1,0,33159.37,0
712,France,Male,28,4,145605.44,0,1,93883.53,0
706,Spain,Female,37,7,0,1,1,110899.3,0
756,France,Male,62,3,0,1,1,11199.04,1
777,France,,53,10,0,1,0,189992.97,0
646,France,Male,35,6,84026.86,0,1,,0
714,France,,46,1,0,1,0,152167.79,1
782,France,Male,39,8,0,1,1,33949.67,0
775,Spain,Male,29,10,0,1,1,68143.93,0
479,France,Male,35,4,138718.92,1,1,47251.79,1
807,France,Male,42,7,118274.71,1,1,25885.72,0
799,France,Female,22,8,174185.98,0,1,192633.85,0
675,France,Male,40,,113208.86,1,0,34577.36,0
602,Spain,Male,29,5,,1,0,161229.84,0
475,France,,32,8,119023.28,1,0,,0
744,Spain,Female,26,5,166297.89,1,1,181694.44,0
588,Spain,Male,34,10,0,1,0,79078.91,0
703,France,Male,42,9,63227,0,1,137316.32,0
747,Spain,Female,41,5,94521.17,1,0,194926.86,0
583,France,Male,27,7,0,1,0,51285.49,0
750,Spain,Female,34,9,112822.26,0,0,150401.53,1
681,France,Male,38,3,0,1,1,112491.96,0
773,France,Male,25,2,135903.33,1,0,73656.38,0
714,France,Female,31,4,125169.26,1,1,106636.89,0
687,Spain,Female,44,7,0,1,0,155853.52,1
511,France,Male,58,0,149117.31,1,1,162599.51,0
627,France,Male,33,5,0,1,1,103737.82,0
694,France,Female,31,10,0,1,0,160990.27,0
616,Spain,Female,36,6,132311.71,0,0,15462.84,0
687,France,Male,35,8,0,1,0,10334.05,0
712,France,Female,33,6,0,1,1,190686.16,0
553,France,Male,33,4,118082.89,0,0,94440.45,0
667,France,Male,31,1,119266.69,1,1,28257.63,0
731,France,Male,43,2,0,1,1,170034.95,1
629,France,Male,35,7,156847.29,1,0,31824.29,0
614,France,Male,50,4,137104.47,1,0,127166.49,1
438,France,Male,31,8,78398.69,1,0,44937.01,0
652,France,Female,80,4,0,1,1,188603.07,0
729,France,Male,30,6,63669.42,1,0,145111.37,0
642,France,Male,38,3,0,0,0,171463.83,0
806,France,Female,59,0,135296.33,1,0,182822.5,0
744,Spain,Male,36,2,153804.44,1,1,87213.33,0
474,Spain,Male,37,3,0,0,0,57175.32,0
559,France,Male,49,2,147069.78,1,0,120540.83,1
706,Spain,Male,42,9,0,1,1,28714.34,0
628,Spain,Female,22,3,0,1,0,85426.28,0
429,France,Male,24,4,95741.75,1,0,46170.75,0
525,Spain,Female,57,2,145965.33,1,1,64448.36,0
680,France,Female,30,8,141441.75,1,1,16278.97,0
749,France,Male,40,1,139290.41,1,0,182855.42,1
763,France,Female,31,4,0,0,0,50404.72,0
734,France,Male,30,3,0,1,0,107640.25,0
716,France,Male,35,4,144428.87,1,0,134132.65,0
594,France,Male,35,2,0,1,0,103480.69,0
644,France,Female,46,9,95441.27,1,0,108761.05,1
671,France,Male,35,1,144848.74,1,1,179012.3,0
664,France,Male,26,7,116244.14,1,1,95145.14,0
656,France,Male,50,7,0,0,1,72143.44,0
667,Spain,Female,40,1,146502.07,1,0,19162.89,0
663,France,Male,44,2,117028.6,0,1,144680.18,0
584,France,Female,30,8,112013.81,1,0,177772.03,1
626,Spain,Female,37,6,108269.37,1,0,5597.94,0
485,France,Male,29,7,182123.79,1,0,116828.51,1
659,France,Female,32,3,150923.74,0,1,174652.51,0
649,France,Male,33,2,0,1,0,2010.98,0
805,Spain,Female,39,5,165272.13,1,0,14109.85,1
716,France,Female,39,10,115301.31,1,0,43527.4,1
642,France,Female,40,6,129502.49,0,1,86099.23,1
659,France,Male,31,4,118342.26,0,0,161574.19,0
545,Spain,Female,47,5,0,1,1,38970.14,0
543,France,Male,22,8,0,0,0,127587.22,0
718,France,Female,25,7,0,1,0,30380.12,0
840,France,Female,43,7,0,1,0,90908.95,0
630,France,Female,34,9,106937.05,1,0,138275.01,0
643,France,Male,59,3,170331.37,1,1,32171.79,0
654,France,Female,32,1,114510.85,1,1,126143.23,0
582,France,Male,39,5,0,1,1,129892.93,0
659,Spain,Male,32,3,107594.11,1,1,102416.84,0
762,Spain,Male,39,2,81273.13,1,1,18719.67,0
568,Spain,Female,32,7,169399.6,1,0,61936.22,0
670,Spain,Male,25,6,0,1,1,78358.94,0
613,France,Female,45,1,187841.99,1,1,147224.27,0
539,France,Male,30,0,0,1,0,160979.66,0
850,Spain,Female,57,8,126776.3,1,1,132298.49,0
522,Spain,Male,34,9,126436.29,1,0,174248.52,1
737,France,Male,41,1,101960.74,1,1,123547.28,0
520,France,Male,58,3,0,0,1,32790.02,0
706,Spain,Male,28,3,0,0,1,181543.67,0
643,France,Female,45,2,150842.93,0,1,2319.96,1
648,France,Female,50,9,102535.57,1,1,189543.19,0
443,France,Female,29,9,99027.61,1,0,10940.4,0
640,France,Male,68,9,0,1,1,199493.38,0
628,Spain,Female,33,3,0,1,1,188193.25,0
540,France,Female,42,9,87271.41,1,0,172572.64,0
460,France,Female,35,8,102742.91,1,1,189339.6,0
636,France,Male,34,2,40105.51,0,1,53512.16,0
593,France,Female,29,2,152265.43,1,0,34004.44,0
801,Spain,Male,42,4,141947.67,1,1,10598.29,0
640,France,Female,75,1,106307.91,0,1,113428.77,0
611,France,Male,31,0,107884.81,1,1,183487.98,0
802,France,Male,31,1,125013.72,1,1,187658.09,0
717,France,Male,35,7,58469.37,1,1,172459.39,0
769,France,Female,39,8,0,0,1,21016,0
745,France,Male,45,10,117231.63,1,1,122381.02,1
572,Spain,Male,35,4,152390.26,1,0,128123.66,0
629,Spain,Female,30,2,34013.63,1,0,19570.63,0
687,Spain,Female,39,2,0,0,0,188150.6,1
483,France,Female,50,9,0,1,1,111020.24,0
690,France,Male,36,7,101583.11,1,0,123775.15,0
492,France,Female,30,10,77168.87,0,1,146700.22,0
709,France,Male,28,8,124695.72,1,0,145251.35,0
705,France,Male,44,3,105934.96,1,0,82463.69,0
560,France,Female,66,9,0,1,1,15928.49,0
611,Spain,Male,46,6,0,1,0,45886.33,0
730,Spain,Male,62,2,0,1,1,186489.95,0
709,Spain,Female,45,2,0,0,1,162922.65,0
544,France,Female,21,10,161525.96,1,0,9262.77,0
712,France,Female,29,7,147199.07,1,1,84932.4,0
752,France,Male,38,3,183102.29,1,1,71557.12,0
648,Spain,Male,46,9,127209,1,0,77405.95,1
556,Spain,Male,38,8,0,0,0,417.41,1
594,Spain,Female,24,0,97378.54,1,1,71405.17,0
645,France,Female,37,2,136925.09,0,1,153400.24,0
557,France,Male,33,3,54503.55,1,1,371.05,0
547,France,Male,32,8,155726.85,1,0,67789.99,0
701,France,Female,39,9,0,0,1,145894.9,0
616,France,Female,66,1,135842.41,1,0,183840.51,1
605,France,Male,52,1,63349.75,1,0,108887.44,0
699,France,Male,34,2,117468.67,1,0,185227.42,0
639,France,Female,27,2,0,0,0,125244.18,0
583,France,Female,27,4,0,1,0,163113.41,0
587,France,Male,42,1,0,0,0,123006.91,0
694,France,Male,40,9,0,1,0,40463.03,0
570,France,Female,29,4,153040.03,1,1,131363.57,1
692,France,Male,45,6,142084.04,1,0,188305.85,1
511,France,Female,30,5,0,1,0,143994.86,0
788,France,Male,32,4,112079.58,0,0,89368.59,0
526,Spain,Male,66,7,132044.6,1,1,158365.89,0
749,Spain,Female,46,9,66582.81,1,0,78753.12,1
691,France,Female,33,6,0,1,1,100408.31,0
481,France,Female,39,6,0,1,1,24677.54,0
752,France,Male,33,4,0,1,1,39570.78,0
658,France,Female,38,6,102895.1,0,0,155665.76,0
679,Spain,Male,42,2,0,1,1,168294.27,0
754,France,Male,27,7,117578.35,0,1,87908.01,0
679,France,Male,47,10,198546.1,1,0,191198.92,1
633,Spain,Female,39,2,0,0,0,191207.03,0
674,France,Female,31,1,0,1,0,128954.05,0
600,France,Male,28,2,116623.31,0,1,59905.29,0
645,Spain,Male,49,8,0,1,0,162012.6,0
698,France,Male,36,6,0,0,1,19231.98,0
508,Spain,Male,54,10,0,1,1,175749.36,0
555,France,Female,44,3,105770.7,1,0,60533.96,1
751,France,Female,48,9,0,1,0,137508.42,1
738,France,Female,39,1,94435.45,0,1,189430.86,0
706,France,Female,39,8,112889.91,0,1,6723.66,0
595,France,Female,53,7,0,1,0,41371.68,1
577,France,Female,43,3,127940.47,0,0,125140.72,1
578,France,Female,36,8,129745.1,1,1,143683.75,0
699,France,Male,32,3,0,1,1,170770.44,0
826,France,Female,30,5,0,0,1,157397.57,0
656,France,Female,46,7,141535.52,1,0,50595.15,1
556,France,Female,47,2,139914.27,1,1,50390.98,0
569,France,Male,41,4,120243.49,1,0,163150.03,1
765,France,Male,34,9,91835.16,0,0,138280.17,0
544,Spain,Male,37,2,0,0,0,135067.02,0
588,Spain,Female,22,9,67178.19,1,1,163534.75,1
740,Spain,Female,31,8,0,0,0,86657.48,0
850,Spain,Male,38,7,115378.94,0,1,162087.82,0
766,France,Male,30,4,127786.28,1,1,28879.3,0
849,France,Female,41,6,0,1,1,169203.51,1
612,France,Female,33,0,64900.32,1,0,102426.12,0
517,France,Male,53,0,109172.88,1,0,54676.1,1
645,France,Female,55,7,0,1,1,18369.33,0
696,France,Male,43,4,114091.38,0,1,159888.1,0
716,France,Female,40,3,0,0,1,167636.15,0
590,France,Male,32,9,0,1,0,138889.15,0
656,France,Female,45,7,145933.27,1,1,199392.14,0
473,France,Female,35,7,131504.73,1,0,189560.43,0
742,France,Female,44,8,107926.02,0,1,17375.27,1
834,France,Female,57,8,112281.6,1,0,140225.14,1
721,France,Male,41,7,0,0,1,61018.85,0
590,Spain,Male,29,10,0,1,1,51907.72,1
516,Spain,Female,31,7,0,1,0,47018.75,0
850,France,Male,33,0,124781.67,0,1,33700.52,0
748,France,Female,39,9,132865.56,1,1,59636.43,1
798,France,Female,38,4,129055.13,1,0,157147.59,0
612,France,Male,76,6,96166.88,1,1,191393.26,0
540,France,Female,40,3,165298.12,0,1,199862.75,0
719,Spain,Female,33,7,0,1,0,20016.59,0
598,France,Male,48,6,120682.53,1,0,30635.52,1
796,Spain,Male,32,5,102773.15,0,1,117832.88,0
579,France,Male,42,0,144386.32,1,1,22497.1,1
850,France,Female,40,7,104449.8,1,1,747.88,0
599,Spain,Male,35,6,137102.65,0,0,76870.81,0
724,France,Female,30,9,142475.87,1,1,107848.24,0
508,France,Female,43,9,0,1,0,103726.71,0
773,Spain,Male,37,2,103195.2,1,0,178268.36,0
526,France,Male,28,1,112070.44,0,1,126281.83,0
542,France,Female,29,7,0,0,1,196651.72,0
470,France,Male,35,1,96473.59,0,0,5962.3,0
805,Spain,Male,37,5,0,1,0,21928.81,0
548,France,Male,49,9,108437.89,0,0,127022.87,1
672,France,Male,37,5,153195.59,1,1,162763.01,0
773,France,Male,45,8,96877.21,1,1,113950.51,0
614,France,Male,44,6,0,0,1,104930.46,0
537,France,Female,38,10,0,0,0,52337.97,1
704,France,Female,40,6,95452.89,0,1,179964.55,0
586,Spain,Male,41,3,63873.56,1,0,83753.64,0
677,France,Female,24,0,148298.59,0,0,182913.95,0
558,Spain,Female,31,7,0,1,0,166720.28,0
634,France,Female,37,7,143258.85,1,0,192721.98,0
655,France,Male,37,9,121342.24,1,1,180241.44,0
619,France,Female,28,6,99152.73,1,0,48475.12,0
662,France,Female,41,4,0,1,0,126551.48,0
705,Spain,Male,33,7,68423.89,1,1,64872.55,0
527,Spain,Female,35,8,0,1,0,98031.53,1
630,France,Female,25,7,79656.81,1,0,93524.22,0
850,France,Male,35,2,0,1,1,56991.66,0
668,France,Female,53,10,110240.04,0,0,183980.56,1
573,France,Female,32,9,125321.84,1,1,130234.63,0
680,France,Male,27,3,0,1,0,32454.26,0
758,France,Female,32,2,84378.9,1,1,75396.43,0
597,France,Male,45,7,0,0,0,167756.45,0
580,France,Male,35,10,136281.41,1,1,24799.47,0
622,France,Male,59,5,119380.37,1,1,60429.43,0
638,France,Male,62,4,108716.59,1,1,74241.09,0
640,France,Female,20,4,0,0,1,78310.82,0
644,Spain,Male,28,0,0,1,0,119419.37,0
753,France,Female,31,6,106596.29,0,0,91305.77,0
629,France,Female,37,10,99546.25,0,1,25136.95,1
775,France,Female,30,5,0,1,0,193880.6,1
701,France,Female,41,2,0,1,0,47856.78,0
708,Spain,Male,19,7,112615.86,1,1,4491.77,0
521,Spain,Female,22,10,0,1,1,101311.95,0
636,France,Female,24,9,0,0,1,38830.72,0
529,France,Female,31,5,0,1,0,26817.23,0
757,France,Male,28,3,75381.15,1,1,199727.72,0
767,Spain,Female,24,5,0,1,1,67445.85,0
525,Spain,Male,33,5,0,1,0,161002.29,0
759,Spain,Male,38,1,0,1,0,20778.39,0
520,France,Female,45,1,123086.39,1,1,41042.4,1
738,France,Female,26,3,0,1,0,67484.16,0
548,Spain,Male,37,4,0,1,0,121763.68,0
535,Spain,Male,48,9,109472.47,1,0,157358.43,1
615,Spain,Male,59,4,155766.05,1,1,110275.17,0
850,France,Male,38,7,101985.81,0,0,43801.27,0
487,France,Female,34,2,96019.5,0,0,9085,0
731,France,Male,30,7,0,0,1,143086.09,0
726,Spain,Female,35,9,0,0,1,100556.98,0
609,France,Female,35,2,147900.43,1,0,140000.29,0
714,France,Male,52,4,100755.66,1,1,186775.25,0
694,Spain,Female,35,7,0,1,0,133570.43,1
786,France,Female,33,0,83036.05,0,1,154990.58,1
698,Spain,Male,27,6,125427.37,0,0,27654.44,0
601,France,Female,46,3,98202.76,0,0,137763.93,0
769,Spain,Male,41,1,72509.91,1,0,25723.73,0
850,France,Male,44,3,140393.65,0,1,186285.52,0
